Segment,Overall,,,,
Client 1441,,,375.92,,
Client 1442,,,,,27249.59
Client 1443,,,1700.85,,
Client 1444,,,,4358.74,
Client 1445,,,,,138.56
Client 1446,,,,,3532.75
Client 1447,,,,1005.44,
Client 1448,,,,,237.04
Client 1449,,,,,320.68
Client 145,,,,299.89,
Client 1450,,,,,246.98
Client 1451,,,,24542.07,311.24
Client 1452,,,,867.78,
Client 1453,,,3349.5,,
Client 1454,,,,,17935.78
Client 1455,,,5740.92,13134.31,24579.33
Client 1456,,,,,4838.9
Client 1457,,,,40.97,1859.59
Client 1458,,,,,10065.09
Client 1459,,,,,1334.09
Client 146,,,1084.37,,
Client 1460,,,662.54,,5784.95
Client 1461,,,,,780.94
Client 1462,,,2010.37,566.01,
Client 1463,,,230.15,,431.7
Client 1464,,,,3252.61,
Client 1465,,,,,278253.84
Client 1466,,,,,1210.67
Client 1467,,,,,7667.59
Client 1468,,,,,44159.68
Client 1469,,,333.71,,
Client 147,,,,,5452.95
Client 1470,,,191.81,,
Client 1471,,1560.6,,1300.1,
Client 1472,,,8576.94,,
Client 1473,,,,3206.21,306.61
Client 1474,,,,,695.51
Client 1475,,,,2687.7,1426.65
Client 1476,,,283.54,,
Client 1477,,,212.96,,
Client 1478,,,,,2622.78
Client 1479,,2369.6,,,
Client 148,,,821.65,,
Client 1480,,,,89869.74,
Client 1481,,,,,4701.85
Client 1482,,,,,47673.49
Client 1483,,,,,29413.67
Client 1484,,,,,37884.47
Client 1485,,222.66,,,
Client 1486,,,7579.25,10818.25,
Client 1487,,921.6,1121.88,,2335.01
Client 1488,,,169.03,,
Client 1489,,,28889.42,879.38,
Client 149,,,12498.29,11397.27,
Client 1490,,,,,715.99
Client 1491,,588.91,6341.56,2494.77,
Client 1492,,,,167.66,
Client 1493,,454.13,22719.19,17942.01,27077.91
Client 1494,,,,,4896.77
Client 1495,,,,873.15,
Client 1496,,,,,2036.39
Client 1497,,,,,13671.4
Client 1498,,,3006.55,2084.07,
Client 1499,,,,436.78,
Client 15,,,,725.52,
Client 150,,,6044.21,,779.18
Client 1500,,,,411.74,22844.92
Client 1501,,310.05,29227.95,23271.16,11014.3
Client 1502,,2291.24,3834.93,,
Client 1503,,286.99,,,
Client 1504,,,,,82697.23
Client 1505,,,10709.33,30716.66,6429.14
Client 1506,,,2527.06,,
Client 1507,813.25,,,6640.27,3607.85
Client 1508,,,,,679.08
Client 1509,278.38,,,,
Client 151,,,6252.44,1114.82,19978.41
Client 1510,,,,,6321.83
Client 1511,,,,,2619.25
Client 1512,,,,,242.81
Client 1513,,,,,125.8
Client 1514,,,,3686.3,
Client 1515,,,2780.08,14346.86,898.51
Client 1516,,,,9717.45,4883.79
Client 1517,,,18213.72,75656.71,
Client 1518,1455.31,3537.44,335.89,,1841.45
Client 1519,,,,,312.62
Client 152,,,,4835.71,11226.37
Client 1520,,,,,14168.45
Client 1521,,,,,1705.22
Client 1522,,,4624.99,,
Client 1523,,,,49008.98,125430.4
Client 1524,,,152.04,,
Client 1525,,,,2600.06,4651.58
Client 1526,,,,,1578.32
Client 1527,,1386.99,449.72,,
Client 1528,,,,3979.93,9451.91
Client 1529,,,,17403.07,389.5
Client 153,,,,,167.35
Client 1530,,,,7029.12,19100.94
Client 1531,,,,692.34,
Client 1532,,726.12,,,
Client 1533,,,,,292207.5
Client 1534,,,,,351.29
Client 1535,,,,,2726.94
Client 1536,,,281.83,18756.84,
Client 1537,,,,2113.4,
Client 1538,,,4560.04,,1699
Client 1539,,,191.31,,
Client 154,,,,,1588.59
Client 1540,,,6468.75,,
Client 1541,,,,3752.28,7323.61
Client 1542,,,,,4217.32
Client 1543,,,71.51,,
Client 1544,,10280.44,,7071.88,
Client 1545,,,,,15350.02
Client 1546,,,,520.86,
Client 1547,,,,116.79,
Client 1548,,1128.71,898.9,2366.68,
Client 1549,,,84.07,,
Client 155,,,,,118.94
Client 1550,,5769.98,8798.32,4995.48,8123.15
Client 1551,,,,,8756.04
Client 1552,,,,3742.58,
Client 1553,,20609.08,,,
Client 1554,,,,,6956.97
Client 1555,,967.95,605.51,,
Client 1556,,,3274.7,21098.71,
Client 1557,49731.513,53876.738,46097.41,1325.62,831.84
Client 1558,,,,,1819.79
Client 1559,,,,,203.56
Client 156,,,,240.8,
Client 1560,,,14103.05,7890.07,13812.16
Client 1561,,,,6138.2,
Client 1562,,,,,2207.56
Client 1563,,,,,190.3
Client 1564,,,,2673.61,
Client 1565,,,,654.02,
Client 1566,,,,,3658.59
Client 1567,,,,1883.99,
Client 1568,,,1597.34,6694.58,
Client 1569,,,,14898.76,12905.22
Client 157,,,,,35.84
Client 1570,,,,,1336.73
Client 1571,,143.16,599.26,8825.2,11481.61
Client 1572,,,,,15192.72
Client 1573,,,,,678.11
Client 1574,4595.35,,,,
Client 1575,,,,,42.11
Client 1576,,,,,276.17
Client 1577,,,,,296.15
Client 1578,,,11661.17,,5021.32
Client 1579,,,,,208.5
Client 158,,,,170.6,
Client 1580,,12848.61,,,
Client 1581,,,,155.12,2134.58
Client 1582,,,225.51,,
Client 1583,,,,,1914.07
Client 1584,,,,,3123.09
Client 1585,,,,10047.29,25312.78
Client 1586,,,,5828.43,
Client 1587,,,,1259.36,
Client 1588,,,,2658.14,1014.4
Client 1589,,,,3544.27,14983.38
Client 159,,711.19,1910.31,,
Client 1590,,,22661.91,3611.45,13810.22
Client 1591,,,,18083.66,10600.56
Client 1592,,,,,232466.41
Client 1593,,37362.49,11566.62,18401.88,31956.51
Client 1594,,,,,3214.96
Client 1595,,,,7891.67,
Client 1596,,,,,5987.56
Client 1597,,,,1669.9,
Client 1598,,,,2499.21,
Client 1599,,,,9547.66,3351.89
Client 16,,,,,2382.37
Client 160,,,240.58,,
Client 1600,,,,3118.73,14839.08
Client 1601,,,,,2479.01
Client 1602,,,,,1020.84
Client 1603,,,,2058.47,39454.05
Client 1604,,2057,,,
Client 1605,,,,,228209.78
Client 1606,,,,,184.64
Client 1607,,,,,2268.71
Client 1608,,,1257.48,,
Client 1609,,,,,1233.96
Client 161,,,,,626.34
Client 1610,,,,,2227.51
Client 1611,,,,,4815.97
Client 1612,,,,,713.47
Client 1613,,,,6619.7,
Client 1614,,,,,249.76
Client 1615,,,,,478.11
Client 1616,,,,28482.5,38470.46
Client 1617,,,,21019.6,27677.56
