Segment,Small,,,,
Client 1600,,,,3118.73,14839.08
Client 1601,,,,,2479.01
Client 1602,,,,,1020.84
Client 1604,,2057,,,
Client 1605,,,,,228209.78
Client 1607,,,,,2268.71
Client 1608,,,1257.48,,
Client 1609,,,,,1233.96
Client 161,,,,,626.34
Client 1610,,,,,2227.51
Client 1611,,,,,4815.97
Client 1619,,,,,3438.41
Client 162,,,,,1769.06
Client 1620,,,922.01,3856.68,1510.9
Client 1621,,,,,13415.35
Client 1624,,,,,4211.04
Client 1625,,6184.42,,,
Client 1626,,,,2497.76,
Client 1627,,,,393.73,378.95
Client 163,,,58.78,,
Client 1630,,,,95.48,
Client 1631,,,,,1586.69
Client 1632,,,,,3216
Client 1634,,,,,1034.81
Client 1635,,,,,4601.86
Client 1636,,,,,638.04
Client 1638,,,,2233.52,
Client 1639,,,,,43121.09
Client 1640,,,,236.7,
Client 1641,,1216.01,7153.34,,
Client 1643,,,,2877.29,
Client 1644,,,,,5521.77
Client 1645,,146.07,59.46,,
Client 1646,,5471.55,21884.98,13767.7,32728.03
Client 1648,,,,,264.45
Client 1649,,,,,1066.81
Client 1651,,,,,2876.4
Client 1652,,,,,3135.62
Client 1653,2199.51,239.54,1437.91,,252.21
Client 1655,,,,,1773.8
Client 166,,,,,3208.48
Client 1664,,,1028.3,,409.94
Client 1665,,,,16066.05,11501.04
Client 1666,,,,5562.84,3242.92
Client 1668,,261.29,,,
Client 1671,,,,,4522.82
Client 1672,,,,,67198.33
Client 1673,,,,,2535.55
Client 1674,,,,,169.12
Client 1676,,,,,13312.53
Client 1678,,1411.71,,,
Client 1679,,2509.05,22985.87,1740.01,5226.16
Client 168,,,,6259.36,1765.93
Client 1683,,,,1690.72,
Client 1684,,,,,87.09
Client 1686,,,1054.49,1952.82,
Client 1687,,,4668.13,9301.68,1153
Client 1688,,,,3430.15,2957.34
Client 1690,,3521.18,1146.55,,
Client 1692,,,,,1814.06
Client 1693,,,,12623.3,
Client 1696,,,1752.92,68.83,
Client 1699,,,,,664.48
Client 1701,,,,13588.36,7746.66
Client 1702,,,,,4945.17
Client 1703,245.95,98.59,,,
Client 1704,,363.38,4484.86,,
Client 1705,1712.08,,,,
Client 1707,,,,,17285.21
Client 1708,,3052.02,,,
Client 1709,,,716.36,,
Client 171,10407.058,141094.42,98346.18,36356.86,111166.07
Client 1710,,,,,292.95
Client 1712,,,,,91
Client 1713,,,10044.48,,
Client 1716,,,,,894.02
Client 1717,,,2202.41,,
Client 1720,,,,,77522.86
Client 1721,,,,,6846.85
Client 1723,,,,4117.53,1138.68
Client 1724,,,176.02,,
Client 1727,,,,,2267.96
Client 1728,,,2435.31,,
Client 173,,,,864.93,
Client 1734,,,,64.36,2862.12
Client 1735,,,,2902.13,
Client 1736,,,,4117.63,
Client 1737,,,,,190.58
Client 1739,,,,54641.07,40279.05
Client 174,,,,77.75,
Client 1740,,,22990.74,22190.12,2587.71
Client 1741,,1821.27,1287.31,,1066.25
Client 1742,,,,,17878.66
Client 1743,,,,20156.13,758.5
Client 1747,,,,,2288.65
Client 1750,,,,8366.42,
Client 1751,,,,34933.14,
Client 1752,,,,,20897.9
Client 1754,,,,7894.13,
Client 1755,,,,,49301.12
Client 1756,,,,4562.86,
Client 1757,,,,,36.71
Client 1758,,360.31,,,
Client 1760,,,,9337.93,
Client 1761,,,,1724.69,952.93
Client 1762,,,,,36.02
Client 1763,,,,,184.64
Client 1765,,,,,299.27
Client 1766,,,,,1787.03
Client 177,,,,21038.67,298924.58
Client 1773,,,,,6496.65
Client 1774,,,,300.12,
Client 1778,,,,,12913.53
Client 178,,,,,5734.91
Client 1780,,,,,2920.85
Client 1781,,,,,20000
Client 1782,,,,,34384.18
Client 1783,,,,,49.7
Client 1785,,129.33,,,
Client 1786,,,43201.57,29772.43,201014.75
Client 1788,,,,,1027.32
Client 1789,,1607.82,,,
Client 179,,,14241.97,20139.29,11601.78
Client 1791,,3790.16,27844.93,,1741.67
Client 1792,,,,,8721.33
Client 1793,,,,,704.16
Client 1794,,,,10379.81,129208.28
Client 1795,,,7047.78,18884.27,3952.89
Client 1796,,,1240.79,7539.81,
Client 1797,,,1777.28,409.18,691.4
Client 1798,,,,513.37,
Client 180,,,,2286.09,841.17
Client 1801,,,,,610.87
Client 1802,,,,46837.48,3693.86
Client 1803,,,,,2702.81
Client 1804,,,3441.16,,
Client 1805,,,,3210.39,
Client 1806,,,6996.82,,
Client 1808,,,,,110235.03
Client 1809,,,,,102639.97
Client 181,,,2413.99,,
Client 1811,,,,,2690.54
Client 1812,,,,,2072.1
Client 1813,,,,1062.77,
Client 1814,,,,,1307.44
Client 1815,,,,43121.67,
Client 1817,,,,,14870.55
Client 182,,,,,2914.64
Client 1820,,,,256.6,
Client 1821,,,1532.13,,
Client 1824,,,,,190.28
Client 1825,,,,11308.01,10599.2
Client 1827,,5885.35,3279.15,4150.64,9399.7
Client 1828,,,,526.71,
Client 1829,,,,,1053.03
Client 183,,,387.67,889.51,
Client 1830,,,,,1910.05
Client 1833,,,,,21958.14
Client 1834,,,,,67841.77
Client 1836,,,,3564.25,
Client 1838,,,,,2553.86
Client 1839,,,1784.29,,
Client 184,,,1432.49,2898.46,
Client 1845,,,,,1993.25
Client 1847,,,1993.96,,
Client 1848,,,273.72,,
